Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_day,journey_month,journey_weekday,is_weekend,quarter,dep_hour,dep_time_bin,Price_capped,Price_log,weekday,is_holiday,duration_hours,duration_minutes,total_duration_mins,flight_type,Source_freq,Destination_freq,Airline_mean_price,Source_mean_price,total_duration_mins,journey_month,total_duration_mins^2,total_duration_mins journey_month,journey_month^2
jet airways,2019-06-09,banglore,delhi,BLR → DEL,15:15:00,18:10,2h 55m,non-stop,No info,8016,9,6,6,1,2,15,Afternoon,8016,8.989319566042951,6,0,2.0,55.0,175.0,Medium,0.20567309492604383,0.11842351619546901,11643.92335671603,8017.464269458353,175.0,6.0,30625.0,1050.0,36.0
jet airways,2019-05-18,kolkata,banglore,CCU → DEL → BLR,20:25:00,23:35 19 May,27h 10m,1 stop,No info,14151,18,5,5,1,2,20,Evening,14151,9.55761123583962,5,0,27.0,10.0,1630.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1630.0,5.0,2656900.0,8150.0,25.0
indigo,2019-04-15,banglore,delhi,BLR → DEL,06:05:00,08:50,2h 45m,non-stop,No info,4423,15,4,0,0,2,6,Morning,4423,8.39479954320217,0,0,2.0,45.0,165.0,Medium,0.20567309492604383,0.11842351619546901,5673.68290306868,8017.464269458353,165.0,4.0,27225.0,660.0,16.0
jet airways,2019-06-15,mumbai,hyderabad,BOM → HYD,07:05:00,08:30,1h 25m,non-stop,In-flight meal not included,4050,15,6,5,1,2,7,Morning,4050,8.30671904320269,5,0,1.0,25.0,85.0,Short,0.06524995319228609,0.06524995319228609,11643.92335671603,5059.708751793401,85.0,6.0,7225.0,510.0,36.0
jet airways,2019-05-06,kolkata,banglore,CCU → BOM → BLR,14:05:00,19:50,5h 45m,1 stop,No info,14781,6,5,0,0,2,14,Afternoon,14781,9.601165503344832,0,0,5.0,45.0,345.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,345.0,5.0,119025.0,1725.0,25.0
jet airways,2019-05-15,kolkata,banglore,CCU → BOM → BLR,20:00:00,08:15 16 May,12h 15m,1 stop,In-flight meal not included,8586,15,5,2,0,2,20,Evening,8586,9.058004710672485,2,0,12.0,15.0,735.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,735.0,5.0,540225.0,3675.0,25.0
air asia,2019-05-21,kolkata,banglore,CCU → BBI → BLR,19:55:00,23:30,3h 35m,1 stop,No info,5162,21,5,1,0,2,19,Evening,5162,8.54927308487965,1,0,3.0,35.0,215.0,Medium,0.2687698932784123,0.2687698932784123,5590.260188087775,9158.389411354929,215.0,5.0,46225.0,1075.0,25.0
jet airways,2019-06-09,kolkata,banglore,CCU → BOM → BLR,21:10:00,04:40 10 Jun,7h 30m,1 stop,No info,13731,9,6,6,1,2,21,Night,13731,9.527484154577582,6,0,7.0,30.0,450.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,450.0,6.0,202500.0,2700.0,36.0
jet airways,2019-03-21,delhi,cochin,DEL → BOM → COK,13:00:00,04:25 22 Mar,15h 25m,1 stop,In-flight meal not included,7438,21,3,3,0,1,13,Afternoon,7438,8.914491710191342,3,0,15.0,25.0,925.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,925.0,3.0,855625.0,2775.0,9.0
jet airways,2019-05-15,kolkata,banglore,CCU → DEL → BLR,09:35:00,10:55 16 May,25h 20m,1 stop,No info,14151,15,5,2,0,2,9,Morning,14151,9.55761123583962,2,0,25.0,20.0,1520.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1520.0,5.0,2310400.0,7600.0,25.0
vistara,2019-04-12,banglore,delhi,BLR → DEL,21:00:00,23:50,2h 50m,non-stop,No info,5613,12,4,4,0,2,21,Night,5613,8.633018756921828,4,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,7796.348643006263,8017.464269458353,170.0,4.0,28900.0,680.0,16.0
indigo,2019-05-15,kolkata,banglore,CCU → HYD → BLR,15:15:00,20:05,4h 50m,1 stop,No info,5380,15,5,2,0,2,15,Afternoon,5380,8.59062950948942,2,0,4.0,50.0,290.0,Medium,0.2687698932784123,0.2687698932784123,5673.68290306868,9158.389411354929,290.0,5.0,84100.0,1450.0,25.0
jet airways,2019-03-21,delhi,cochin,DEL → BOM → COK,11:30:00,04:25 22 Mar,16h 55m,1 stop,In-flight meal not included,7438,21,3,3,0,1,11,Morning,7438,8.914491710191342,3,0,16.0,55.0,1015.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1015.0,3.0,1030225.0,3045.0,9.0
multiple carriers,2019-06-01,delhi,cochin,DEL → HYD → COK,07:05:00,22:30,15h 25m,1 stop,No info,9646,1,6,5,1,2,7,Morning,9646,9.174402265170553,5,0,15.0,25.0,925.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,925.0,6.0,855625.0,5550.0,36.0
air asia,2019-05-15,delhi,cochin,DEL → BLR → COK,20:45:00,07:10 16 May,10h 25m,1 stop,No info,6853,15,5,2,0,2,20,Evening,6853,8.832587702434553,2,0,10.0,25.0,625.0,Long,0.42463958060288337,0.42463958060288337,5590.260188087775,10540.113536155202,625.0,5.0,390625.0,3125.0,25.0
jet airways,2019-03-18,banglore,new delhi,BLR → BOM → DEL,14:05:00,20:20,6h 15m,1 stop,No info,13555,18,3,0,0,1,14,Afternoon,13555,9.514584532726944,0,0,6.0,15.0,375.0,Long,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,375.0,3.0,140625.0,1125.0,9.0
indigo,2019-06-15,delhi,cochin,DEL → BOM → COK,17:30:00,01:30 16 Jun,8h,1 stop,No info,5883,15,6,5,1,2,17,Evening,5883,8.679992081721329,5,0,8.0,0.0,480.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,480.0,6.0,230400.0,2880.0,36.0
indigo,2019-03-09,delhi,cochin,DEL → HYD → COK,04:55:00,12:00,7h 5m,1 stop,No info,6171,9,3,5,1,1,4,Late Night,6171,8.72777821348305,5,0,7.0,5.0,425.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,425.0,3.0,180625.0,1275.0,9.0
indigo,2019-05-21,mumbai,hyderabad,BOM → HYD,16:55:00,18:25,1h 30m,non-stop,No info,3175,21,5,1,0,2,16,Afternoon,3175,8.063377822367027,1,0,1.0,30.0,90.0,Short,0.06524995319228609,0.06524995319228609,5673.68290306868,5059.708751793401,90.0,5.0,8100.0,450.0,25.0
indigo,2019-03-27,delhi,cochin,DEL → AMD → COK,07:45:00,13:40,5h 55m,1 stop,No info,4832,27,3,2,0,1,7,Morning,4832,8.483222671845084,2,0,5.0,55.0,355.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,355.0,3.0,126025.0,1065.0,9.0
multiple carriers,2019-06-01,delhi,cochin,DEL → BOM → COK,16:00:00,01:30 02 Jun,9h 30m,1 stop,No info,13377,1,6,5,1,2,16,Afternoon,13377,9.501366845678351,5,0,9.0,30.0,570.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,570.0,6.0,324900.0,3420.0,36.0
jet airways,2019-06-24,delhi,cochin,DEL → BOM → COK,19:45:00,04:25 25 Jun,8h 40m,1 stop,In-flight meal not included,10262,24,6,0,0,2,19,Evening,10262,9.236300473645716,0,0,8.0,40.0,520.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,520.0,6.0,270400.0,3120.0,36.0
jet airways,2019-06-01,delhi,cochin,DEL → BOM → COK,18:15:00,12:35 02 Jun,18h 20m,1 stop,In-flight meal not included,10262,1,6,5,1,2,18,Evening,10262,9.236300473645716,5,0,18.0,20.0,1100.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1100.0,6.0,1210000.0,6600.0,36.0
air india,2019-05-18,delhi,cochin,DEL → JAI → BOM → COK,12:00:00,07:40 19 May,19h 40m,2 stops,No info,8603,18,5,5,1,2,12,Afternoon,8603,9.05998249038762,5,0,19.0,40.0,1180.0,Long,0.42463958060288337,0.42463958060288337,9612.427755568247,10540.113536155202,1180.0,5.0,1392400.0,5900.0,25.0
jet airways,2019-06-06,kolkata,banglore,CCU → BOM → BLR,06:30:00,04:40 07 Jun,22h 10m,1 stop,In-flight meal not included,8586,6,6,3,0,2,6,Morning,8586,9.058004710672485,3,0,22.0,10.0,1330.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1330.0,6.0,1768900.0,7980.0,36.0
vistara,2019-05-21,kolkata,banglore,CCU → DEL → BLR,20:20:00,09:05 22 May,12h 45m,1 stop,No info,8452,21,5,1,0,2,20,Evening,8452,9.042276686928927,1,0,12.0,45.0,765.0,Long,0.2687698932784123,0.2687698932784123,7796.348643006263,9158.389411354929,765.0,5.0,585225.0,3825.0,25.0
jet airways,2019-03-24,kolkata,banglore,CCU → BOM → BLR,18:55:00,18:10 25 Mar,23h 15m,1 stop,No info,14231,24,3,6,1,1,18,Evening,14231,9.563248229345673,6,0,23.0,15.0,1395.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1395.0,3.0,1946025.0,4185.0,9.0
jet airways,2019-05-21,delhi,cochin,DEL → BOM → COK,08:00:00,19:00,11h,1 stop,No info,16289,21,5,1,0,2,8,Morning,16289,9.69830670159609,1,0,11.0,0.0,660.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,660.0,5.0,435600.0,3300.0,25.0
spicejet,2019-03-03,banglore,new delhi,BLR → DEL,09:35:00,12:30,2h 55m,non-stop,No info,6860,3,3,6,1,1,9,Morning,6860,8.833608482690892,6,0,2.0,55.0,175.0,Medium,0.20567309492604383,0.0872495787305748,4338.284841075794,8017.464269458353,175.0,3.0,30625.0,525.0,9.0
indigo,2019-05-09,mumbai,hyderabad,BOM → HYD,02:35:00,04:05,1h 30m,non-stop,No info,2754,9,5,3,0,2,2,Late Night,2754,7.9211727215870145,3,0,1.0,30.0,90.0,Short,0.06524995319228609,0.06524995319228609,5673.68290306868,5059.708751793401,90.0,5.0,8100.0,450.0,25.0
multiple carriers,2019-06-09,delhi,cochin,DEL → HYD → COK,07:05:00,22:30,15h 25m,1 stop,No info,9646,9,6,6,1,2,7,Morning,9646,9.174402265170553,6,0,15.0,25.0,925.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,925.0,6.0,855625.0,5550.0,36.0
air india,2019-05-27,chennai,kolkata,MAA → CCU,11:40:00,13:55,2h 15m,non-stop,No info,4667,27,5,0,0,2,11,Morning,4667,8.448485993406447,0,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,9612.427755568247,4789.892388451443,135.0,5.0,18225.0,675.0,25.0
indigo,2019-04-21,kolkata,banglore,CCU → BLR,15:30:00,18:05,2h 35m,non-stop,No info,4804,21,4,6,1,2,15,Afternoon,4804,8.477412321404392,6,0,2.0,35.0,155.0,Medium,0.2687698932784123,0.2687698932784123,5673.68290306868,9158.389411354929,155.0,4.0,24025.0,620.0,16.0
indigo,2019-03-09,banglore,new delhi,BLR → DEL,01:30:00,04:15,2h 45m,non-stop,No info,4545,9,3,5,1,1,1,Late Night,4545,8.422003004412488,5,0,2.0,45.0,165.0,Medium,0.20567309492604383,0.0872495787305748,5673.68290306868,8017.464269458353,165.0,3.0,27225.0,495.0,9.0
jet airways,2019-03-01,banglore,new delhi,BLR → BOM → DEL,22:50:00,20:20 02 Mar,21h 30m,1 stop,No info,25735,1,3,4,0,1,22,Night,23017,10.155646068918864,4,0,21.0,30.0,1290.0,Long,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,1290.0,3.0,1664100.0,3870.0,9.0
jet airways,2019-03-21,delhi,cochin,DEL → JAI → BOM → COK,05:30:00,04:25 22 Mar,22h 55m,2 stops,No info,12647,21,3,3,0,1,5,Morning,12647,9.445254378889308,3,0,22.0,55.0,1375.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1375.0,3.0,1890625.0,4125.0,9.0
jet airways,2019-05-01,kolkata,banglore,CCU → BOM → BLR,14:05:00,08:15 02 May,18h 10m,1 stop,In-flight meal not included,8586,1,5,2,0,2,14,Afternoon,8586,9.058004710672485,2,0,18.0,10.0,1090.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1090.0,5.0,1188100.0,5450.0,25.0
indigo,2019-06-09,chennai,kolkata,MAA → CCU,22:05:00,00:25 10 Jun,2h 20m,non-stop,No info,5277,9,6,6,1,2,22,Night,5277,8.57130251706327,6,0,2.0,20.0,140.0,Medium,0.03566747800037446,0.03566747800037446,5673.68290306868,4789.892388451443,140.0,6.0,19600.0,840.0,36.0
indigo,2019-03-27,delhi,cochin,DEL → BOM → COK,11:30:00,01:35 28 Mar,14h 5m,1 stop,No info,6206,27,3,2,0,1,11,Morning,6206,8.733432966413652,2,0,14.0,5.0,845.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,845.0,3.0,714025.0,2535.0,9.0
air asia,2019-04-12,banglore,delhi,BLR → DEL,11:10:00,13:55,2h 45m,non-stop,No info,4483,12,4,4,0,2,11,Morning,4483,8.40827078419205,4,0,2.0,45.0,165.0,Medium,0.20567309492604383,0.11842351619546901,5590.260188087775,8017.464269458353,165.0,4.0,27225.0,660.0,16.0
vistara,2019-05-24,kolkata,banglore,CCU → DEL → BLR,17:00:00,18:50 25 May,25h 50m,1 stop,No info,9870,24,5,4,0,2,17,Evening,9870,9.197356444417888,4,0,25.0,50.0,1550.0,Long,0.2687698932784123,0.2687698932784123,7796.348643006263,9158.389411354929,1550.0,5.0,2402500.0,7750.0,25.0
spicejet,2019-06-27,kolkata,banglore,CCU → BLR,17:10:00,19:40,2h 30m,non-stop,No check-in baggage included,3841,27,6,3,0,2,17,Evening,3841,8.253748343328501,3,0,2.0,30.0,150.0,Medium,0.2687698932784123,0.2687698932784123,4338.284841075794,9158.389411354929,150.0,6.0,22500.0,900.0,36.0
spicejet,2019-03-27,kolkata,banglore,CCU → BLR,09:00:00,11:30,2h 30m,non-stop,No check-in baggage included,3815,27,3,2,0,1,9,Morning,3815,8.246958032568177,2,0,2.0,30.0,150.0,Medium,0.2687698932784123,0.2687698932784123,4338.284841075794,9158.389411354929,150.0,3.0,22500.0,450.0,9.0
indigo,2019-03-24,banglore,new delhi,BLR → DEL,23:30:00,02:20 25 Mar,2h 50m,non-stop,No info,6860,24,3,6,1,1,23,Night,6860,8.833608482690892,6,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.0872495787305748,5673.68290306868,8017.464269458353,170.0,3.0,28900.0,510.0,9.0
jet airways,2019-05-01,kolkata,banglore,CCU → DEL → BLR,20:25:00,10:55 02 May,14h 30m,1 stop,No info,12121,1,5,2,0,2,20,Evening,12121,9.402777262511233,2,0,14.0,30.0,870.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,870.0,5.0,756900.0,4350.0,25.0
jet airways,2019-03-27,delhi,cochin,DEL → BOM → COK,09:55:00,18:50,8h 55m,1 stop,In-flight meal not included,5963,27,3,2,0,1,9,Morning,5963,8.69349667588463,2,0,8.0,55.0,535.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,535.0,3.0,286225.0,1605.0,9.0
spicejet,2019-06-06,banglore,delhi,BLR → DEL,05:55:00,08:35,2h 40m,non-stop,No info,3625,6,6,3,0,2,5,Morning,3625,8.195885391314796,3,0,2.0,40.0,160.0,Medium,0.20567309492604383,0.11842351619546901,4338.284841075794,8017.464269458353,160.0,6.0,25600.0,960.0,36.0
spicejet,2019-06-15,kolkata,banglore,CCU → BLR,09:00:00,11:25,2h 25m,non-stop,No check-in baggage included,3841,15,6,5,1,2,9,Morning,3841,8.253748343328501,5,0,2.0,25.0,145.0,Medium,0.2687698932784123,0.2687698932784123,4338.284841075794,9158.389411354929,145.0,6.0,21025.0,870.0,36.0
indigo,2019-06-12,banglore,delhi,BLR → DEL,20:00:00,22:50,2h 50m,non-stop,No info,4823,12,6,2,0,2,20,Evening,4823,8.481358738407021,2,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,5673.68290306868,8017.464269458353,170.0,6.0,28900.0,1020.0,36.0
multiple carriers,2019-06-12,delhi,cochin,DEL → HYD → COK,09:45:00,16:10,6h 25m,1 stop,No info,9646,12,6,2,0,2,9,Morning,9646,9.174402265170553,2,0,6.0,25.0,385.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,385.0,6.0,148225.0,2310.0,36.0
jet airways,2019-05-27,delhi,cochin,DEL → BOM → COK,02:15:00,12:35,10h 20m,1 stop,In-flight meal not included,10152,27,5,0,0,2,2,Late Night,10152,9.225524507301223,0,0,10.0,20.0,620.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,620.0,5.0,384400.0,3100.0,25.0
indigo,2019-06-03,delhi,cochin,DEL → HYD → COK,06:50:00,22:30,15h 40m,1 stop,No info,7514,3,6,0,0,2,6,Morning,7514,8.924656302187074,0,0,15.0,40.0,940.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,940.0,6.0,883600.0,5640.0,36.0
jet airways,2019-03-06,banglore,new delhi,BLR → BOM → DEL,07:00:00,18:25,11h 25m,1 stop,No info,16736,6,3,2,0,1,7,Morning,16736,9.725377116513638,2,0,11.0,25.0,685.0,Long,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,685.0,3.0,469225.0,2055.0,9.0
jet airways,2019-05-06,kolkata,banglore,CCU → BOM → BLR,18:55:00,10:05 07 May,15h 10m,1 stop,No info,13584,6,5,0,0,2,18,Evening,13584,9.516721521860449,0,0,15.0,10.0,910.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,910.0,5.0,828100.0,4550.0,25.0
air india,2019-05-21,kolkata,banglore,CCU → JAI → BOM → BLR,08:20:00,07:55 22 May,23h 35m,2 stops,No info,11222,21,5,1,0,2,8,Morning,11222,9.325720523016257,1,0,23.0,35.0,1415.0,Long,0.2687698932784123,0.2687698932784123,9612.427755568247,9158.389411354929,1415.0,5.0,2002225.0,7075.0,25.0
indigo,2019-05-01,chennai,kolkata,MAA → CCU,07:55:00,10:15,2h 20m,non-stop,No info,3850,1,5,2,0,2,7,Morning,3850,8.25608813381491,2,0,2.0,20.0,140.0,Medium,0.03566747800037446,0.03566747800037446,5673.68290306868,4789.892388451443,140.0,5.0,19600.0,700.0,25.0
vistara,2019-03-24,banglore,new delhi,BLR → DEL,12:00:00,14:40,2h 40m,non-stop,No info,7608,24,3,6,1,1,12,Afternoon,7608,8.937087036176523,6,0,2.0,40.0,160.0,Medium,0.20567309492604383,0.0872495787305748,7796.348643006263,8017.464269458353,160.0,3.0,25600.0,480.0,9.0
jet airways,2019-05-12,kolkata,banglore,CCU → BOM → BLR,20:00:00,16:20 13 May,20h 20m,1 stop,In-flight meal not included,10844,12,5,6,1,2,20,Evening,10844,9.291459423260974,6,0,20.0,20.0,1220.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1220.0,5.0,1488400.0,6100.0,25.0
multiple carriers,2019-06-09,delhi,cochin,DEL → BOM → COK,17:00:00,01:30 10 Jun,8h 30m,1 stop,No info,7408,9,6,6,1,2,17,Evening,7408,8.910450756416656,6,0,8.0,30.0,510.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,510.0,6.0,260100.0,3060.0,36.0
vistara,2019-05-18,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,18,5,5,1,2,7,Morning,3687,8.212839584676484,5,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,7796.348643006263,4789.892388451443,135.0,5.0,18225.0,675.0,25.0
spicejet,2019-03-03,delhi,cochin,DEL → BLR → COK,16:35:00,22:50,6h 15m,1 stop,No info,11726,3,3,6,1,1,16,Afternoon,11726,9.369649154461063,6,0,6.0,15.0,375.0,Long,0.42463958060288337,0.42463958060288337,4338.284841075794,10540.113536155202,375.0,3.0,140625.0,1125.0,9.0
jet airways,2019-05-06,kolkata,banglore,CCU → BOM → BLR,06:30:00,09:20 07 May,26h 50m,1 stop,In-flight meal not included,9663,6,5,0,0,2,6,Morning,9663,9.176162920174596,0,0,26.0,50.0,1610.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1610.0,5.0,2592100.0,8050.0,25.0
air india,2019-03-24,kolkata,banglore,CCU → DEL → COK → BLR,07:00:00,13:45 25 Mar,30h 45m,2 stops,No info,12829,24,3,6,1,1,7,Morning,12829,9.45954145760968,6,0,30.0,45.0,1845.0,Long,0.2687698932784123,0.2687698932784123,9612.427755568247,9158.389411354929,1845.0,3.0,3404025.0,5535.0,9.0
indigo,2019-06-27,delhi,cochin,DEL → BOM → COK,16:00:00,21:00,5h,1 stop,No info,6069,27,6,3,0,2,16,Afternoon,6069,8.711113884053544,3,0,5.0,0.0,300.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,300.0,6.0,90000.0,1800.0,36.0
jet airways,2019-06-12,kolkata,banglore,CCU → BOM → BLR,16:30:00,19:50 13 Jun,27h 20m,1 stop,In-flight meal not included,8529,12,6,2,0,2,16,Afternoon,8529,9.051344640485723,2,0,27.0,20.0,1640.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1640.0,6.0,2689600.0,9840.0,36.0
vistara,2019-05-09,kolkata,banglore,CCU → DEL → BLR,17:00:00,23:25,6h 25m,1 stop,No info,8085,9,5,3,0,2,17,Evening,8085,8.997889450200717,3,0,6.0,25.0,385.0,Long,0.2687698932784123,0.2687698932784123,7796.348643006263,9158.389411354929,385.0,5.0,148225.0,1925.0,25.0
vistara,2019-05-15,banglore,delhi,BLR → DEL,19:30:00,22:15,2h 45m,non-stop,No info,4878,15,5,2,0,2,19,Evening,4878,8.492695559815838,2,0,2.0,45.0,165.0,Medium,0.20567309492604383,0.11842351619546901,7796.348643006263,8017.464269458353,165.0,5.0,27225.0,825.0,25.0
indigo,2019-04-03,banglore,delhi,BLR → DEL,13:00:00,15:50,2h 50m,non-stop,No info,4077,3,4,2,0,2,13,Afternoon,4077,8.3133619511344,2,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,5673.68290306868,8017.464269458353,170.0,4.0,28900.0,680.0,16.0
indigo,2019-05-09,kolkata,banglore,CCU → PNQ → BLR,21:00:00,02:15 10 May,5h 15m,1 stop,No info,7605,9,5,3,0,2,21,Night,7605,8.936692688488204,3,0,5.0,15.0,315.0,Long,0.2687698932784123,0.2687698932784123,5673.68290306868,9158.389411354929,315.0,5.0,99225.0,1575.0,25.0
jet airways,2019-06-15,delhi,cochin,DEL → JAI → BOM → COK,05:30:00,04:25 16 Jun,22h 55m,2 stops,No info,13014,15,6,5,1,2,5,Morning,13014,9.473857817428666,5,0,22.0,55.0,1375.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1375.0,6.0,1890625.0,8250.0,36.0
indigo,2019-03-03,delhi,cochin,DEL → HYD → COK,07:35:00,22:20,14h 45m,1 stop,No info,11600,3,3,6,1,1,7,Morning,11600,9.358846580275406,6,0,14.0,45.0,885.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,885.0,3.0,783225.0,2655.0,9.0
jet airways,2019-05-12,kolkata,banglore,CCU → DEL → BLR,17:00:00,09:45 13 May,16h 45m,1 stop,No info,14151,12,5,6,1,2,17,Evening,14151,9.55761123583962,6,0,16.0,45.0,1005.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,1005.0,5.0,1010025.0,5025.0,25.0
air india,2019-06-24,delhi,cochin,DEL → HYD → BOM → COK,13:15:00,07:40 25 Jun,18h 25m,2 stops,No info,12497,24,6,0,0,2,13,Afternoon,12497,9.433323910489028,0,0,18.0,25.0,1105.0,Long,0.42463958060288337,0.42463958060288337,9612.427755568247,10540.113536155202,1105.0,6.0,1221025.0,6630.0,36.0
jet airways,2019-03-06,delhi,cochin,DEL → BOM → COK,02:15:00,18:50,16h 35m,1 stop,No info,17024,6,3,2,0,1,2,Late Night,17024,9.742438131017714,2,0,16.0,35.0,995.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,995.0,3.0,990025.0,2985.0,9.0
spicejet,2019-03-09,chennai,kolkata,MAA → CCU,09:30:00,12:05,2h 35m,non-stop,No info,6300,9,3,5,1,1,9,Morning,6300,8.748463629942055,5,0,2.0,35.0,155.0,Medium,0.03566747800037446,0.03566747800037446,4338.284841075794,4789.892388451443,155.0,3.0,24025.0,465.0,9.0
multiple carriers,2019-03-06,delhi,cochin,DEL → BOM → COK,17:45:00,01:35 07 Mar,7h 50m,1 stop,No info,15147,6,3,2,0,1,17,Evening,15147,9.625623789021686,2,0,7.0,50.0,470.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,470.0,3.0,220900.0,1410.0,9.0
multiple carriers,2019-06-01,delhi,cochin,DEL → BOM → COK,12:50:00,01:30 02 Jun,12h 40m,1 stop,No info,6795,1,6,5,1,2,12,Afternoon,6795,8.824089482791823,5,0,12.0,40.0,760.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,760.0,6.0,577600.0,4560.0,36.0
indigo,2019-03-03,mumbai,hyderabad,BOM → HYD,19:05:00,20:30,1h 25m,non-stop,No info,5755,3,3,6,1,1,19,Evening,5755,8.657998068007258,6,0,1.0,25.0,85.0,Short,0.06524995319228609,0.06524995319228609,5673.68290306868,5059.708751793401,85.0,3.0,7225.0,255.0,9.0
air india,2019-05-12,kolkata,banglore,CCU → DEL → BLR,20:30:00,16:15 13 May,19h 45m,1 stop,No info,10203,12,5,6,1,2,20,Evening,10203,9.230535079261704,6,0,19.0,45.0,1185.0,Long,0.2687698932784123,0.2687698932784123,9612.427755568247,9158.389411354929,1185.0,5.0,1404225.0,5925.0,25.0
jet airways,2019-06-06,delhi,cochin,DEL → BOM → COK,11:30:00,04:25 07 Jun,16h 55m,1 stop,No info,14714,6,6,3,0,2,11,Morning,14714,9.596622660667574,3,0,16.0,55.0,1015.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1015.0,6.0,1030225.0,6090.0,36.0
indigo,2019-03-18,banglore,new delhi,BLR → DEL,22:20:00,01:10 19 Mar,2h 50m,non-stop,No info,4545,18,3,0,0,1,22,Night,4545,8.422003004412488,0,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.0872495787305748,5673.68290306868,8017.464269458353,170.0,3.0,28900.0,510.0,9.0
jet airways,2019-05-15,kolkata,banglore,CCU → BOM → BLR,06:30:00,20:45,14h 15m,1 stop,No info,14781,15,5,2,0,2,6,Morning,14781,9.601165503344832,2,0,14.0,15.0,855.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,855.0,5.0,731025.0,4275.0,25.0
air india,2019-03-12,banglore,new delhi,BLR → TRV → COK → DEL,07:30:00,11:05 13 Mar,27h 35m,2 stops,No info,11602,12,3,1,0,1,7,Morning,11602,9.359018964347545,1,0,27.0,35.0,1655.0,Long,0.20567309492604383,0.0872495787305748,9612.427755568247,8017.464269458353,1655.0,3.0,2739025.0,4965.0,9.0
